product_name,price,supplier,properties,certifications,lead_days,lead_type,years_in_business,source_url
Potassium Bicarbonate (USA),0.035,PureBulk,NONE,"[""NO-FILLERS"", ""PURE""]",NONE,NONE,NONE,https://purebulk.com/products/potassium-bicarbonate
Nicotinamide Riboside Chloride (NRC),1.45,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/nicotinamide-ribose-chloride
Hydrolyzed Collagen Peptides (Chicken) (Type II) Powder,0.0895,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN"", ""WHEAT-FREE""]",NONE,NONE,NONE,https://purebulk.com/products/hydrolyzed-collagen-chicken
Acid Succinate (Vitamin E) Powder,0.398,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/acid-succinate-vitamin-e
Zinc Oxide,0.05,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN"", ""WHEAT-FREE""]",NONE,NONE,NONE,https://purebulk.com/products/zinc-oxide
Zinc Gluconate,0.066,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/zinc-gluconate
D-Aspartic Acid (DAA) Powder,0.0975,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/d-aspartic-acid-daa
Zinc Sulfate Monohydrate,0.085,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN"", ""WHEAT-FREE""]",NONE,NONE,NONE,https://purebulk.com/products/zinc-sulfate-monohydrate
Calcium HMB Powder,0.1195,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/calcium-hmb
Pyridoxine HCl (Vitamin B6),0.15,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""NON-CARBOHYDRATE"", ""NON-PREGNANCY"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/pyridoxine-hcl-vitamin-b6
Citicoline Sodium Powder,0.995,PureBulk,NONE,"[""NO-FILLERS"", ""PURE""]",NONE,NONE,NONE,https://purebulk.com/products/citicoline-sodium
Magnesium Bis-Glycinate Powder,0.0725,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/magnesium-glycinate
Citric Acid Powder Bulk 50lb,392.95,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/citric-acid-bulk
Magnesium Lactate Dihydrate,0.065,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/magnesium-lactate-dihydrate
Oil of Oregano (Carvacrol) 30ml (1oz),0.682,PureBulk,NONE,"[""BSE-TSE-FREE"", ""FILLERS-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/oil-of-oregano-carvacrol
Acerola Cherry Extract (25% Vitamin C) Powder,0.105,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/acerola-cherry
D-Alpha Tocopherol Oil (Vitamin E) (1000 IU) Bulk 20kg,0.1155,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/d-alpha-tocopherol-oil-vitamin-e-1000-iu-bulk
L-Leucine Bulk 25kg,0.0382,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/l-leucine-bulk
Thiamine Mononitrate (Vitamin B1) Bulk 25kg,0.0683,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/thiamine-mononitrate-vitamin-b1-bulk
